num_nodes,med,low,high,std_dev
1000,1755.131826736033,1738.703460432589,2036.4095838740468,28.698151266074888
2000,1824.2161022499204,1815.8411793410778,1836.0652904957533,5.215536711890796
3000,1905.3214858286083,1897.7495357394218,1920.27700971812,5.7098796390455115
4000,2039.527696557343,2019.4599581882358,2068.0662728846073,11.962871184519074
5000,2628.185173496604,2604.590048082173,2649.58141092211,13.714211729970872
6000,3371.3092543184757,3352.128847502172,3401.204683817923,12.392491902573198
7000,4282.80112426728,4255.685735493898,4307.076216675341,14.379329101418419
8000,5262.155164964497,5237.83556651324,5290.759921073914,13.681015940959549
9000,6434.584499336779,6410.857302136719,6467.661545611918,15.022077662639994
10000,7662.436347920448,7633.214578032494,7697.339515201747,14.921646524064139
11000,9078.007566276938,9046.324596740305,9107.702479697764,14.740970749700248
12000,10552.2222626023,10510.409411974251,10617.395309731364,29.639798812333737

