,num_nodes,speedup,impl
0,1K,0.00887175243032221,Dense
1,2K,0.0514602826042826,Dense
2,3K,0.121538422109161,Dense
3,4K,0.261724962411507,Dense
4,5K,0.351884336367912,Dense
5,6K,0.622974571920893,Dense
6,7K,0.503674188802893,Dense
7,8K,0.79767469707204,Dense
8,9K,0.716996985728712,Dense
9,10K,0.786019704935036,Dense
10,11K,0.981898971717861,Dense
11,12K,1.61648937077582,Dense
12,1K,0.0504510315009122,Sparse COO
13,2K,0.243820579485409,Sparse COO
14,3K,0.342506812903985,Sparse COO
15,4K,0.499022105487451,Sparse COO
16,5K,0.650115104850915,Sparse COO
17,6K,1.2097691893725,Sparse COO
18,7K,1.02707754175976,Sparse COO
19,8K,1.73284415443075,Sparse COO
20,9K,1.83188183447905,Sparse COO
21,10K,2.02006770779553,Sparse COO
22,11K,2.7053934946814,Sparse COO
23,12K,4.81826837170503,Sparse COO
24,1K,0.0500237003424128,Sparse CSR
25,2K,0.29953006363918,Sparse CSR
26,3K,0.563702590149738,Sparse CSR
27,4K,1.1507770383015,Sparse CSR
28,5K,1.4632125688816,Sparse CSR
29,6K,2.88757047371942,Sparse CSR
30,7K,2.55184414943295,Sparse CSR
31,8K,4.37464495544602,Sparse CSR
32,9K,4.46771274068495,Sparse CSR
33,10K,5.1281133678306,Sparse CSR
34,11K,7.06604094419593,Sparse CSR
35,12K,12.7596993675551,Sparse CSR
