num_nodes,med,low,high,std_dev
1000,308.6377936415374,307.09868390113115,408.7795242667198,10.128122744596395
2000,385.0153926759958,383.0538233742118,497.1094923093915,11.160997244097354
3000,676.1026591993868,650.6093135103583,709.2166841030121,17.10912371307534
4000,1069.6826931089163,1041.0469491034746,1097.7561865001917,15.54390502000219
5000,1422.5437752902508,1394.562130793929,1448.1862103566527,15.23048919231068
6000,1736.0666464082897,1709.1034417971969,1765.3393419459462,14.612352207168891
7000,2100.2663327381015,2075.7524985820055,2125.0860560685396,13.88586365701114
8000,2422.31132928282,2392.240958288312,2444.909810088575,14.284011597782573
9000,2518.4908783994615,2492.400275543332,2539.9410678073764,12.622249595816683
10000,2981.4970726147294,2958.177681080997,3009.3128252774477,15.6156528588375
11000,3294.783665332943,3265.4137955978513,3357.314880937338,16.789329375991823
12000,3540.1836945675313,3507.4737584218383,3564.884682185948,13.99881354023498
